epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2241.26,1.21696,1.84276,1.61008,0.4835,0.48864,0.3028,0.15518,1.96188,3.29351,2.64313,0.000990365,0.000990365,0.000990365
43,2291.3,1.27196,1.91862,1.65497,0.57119,0.26181,0.28542,0.19336,1.96148,2.7822,2.55221,0.000973861,0.000973861,0.000973861
44,2340.71,1.2064,1.76128,1.62212,0.84415,0.23214,0.27264,0.15429,1.89436,2.65856,2.63985,0.000957358,0.000957358,0.000957358
45,2390.95,1.26168,1.83265,1.65017,0.5667,0.31331,0.36753,0.20492,1.94954,2.47538,2.6967,0.000940855,0.000940855,0.000940855
46,2440,1.22166,1.73548,1.63899,0.63073,0.33442,0.37275,0.179,1.99857,2.85373,2.7314,0.000924352,0.000924352,0.000924352
47,2490.16,1.19686,1.76559,1.58448,0.59497,0.28896,0.32712,0.17729,2.16625,2.98833,2.76043,0.000907848,0.000907848,0.000907848
48,2538.22,1.19993,1.78088,1.57473,0.46486,0.36039,0.36573,0.17214,2.4474,2.68684,3.12102,0.000891345,0.000891345,0.000891345
49,2588.21,1.11753,1.6899,1.53192,0.58486,0.35065,0.38395,0.20723,2.11202,2.75827,2.8998,0.000874842,0.000874842,0.000874842
50,2636.57,1.15307,1.60141,1.54826,0.49979,0.32743,0.32832,0.15209,2.21495,2.56899,2.96206,0.000858338,0.000858338,0.000858338
51,2686.33,1.16235,1.70038,1.59302,0.35661,0.36851,0.32728,0.16588,2.31507,2.5939,2.93421,0.000841835,0.000841835,0.000841835
52,2735.13,1.1115,1.60882,1.54213,0.44967,0.47783,0.36745,0.1858,2.29271,2.66428,2.89449,0.000825332,0.000825332,0.000825332
53,2784.64,1.14846,1.65143,1.54804,0.46032,0.4513,0.39841,0.22948,2.11971,2.67814,2.71107,0.000808828,0.000808828,0.000808828
54,2835.01,1.17276,1.66013,1.5567,0.42642,0.4789,0.40082,0.23739,2.12129,2.76541,2.7441,0.000792325,0.000792325,0.000792325
55,2884.45,1.08799,1.63225,1.51615,0.51683,0.49065,0.44112,0.2391,2.05098,2.5403,2.7077,0.000775822,0.000775822,0.000775822
56,2934.65,1.14829,1.65549,1.57255,0.48416,0.42238,0.3513,0.19097,2.11679,2.74844,2.75767,0.000759318,0.000759318,0.000759318
57,2982.87,1.07493,1.64081,1.51422,0.59483,0.45881,0.42806,0.19526,2.01888,2.72072,2.71355,0.000742815,0.000742815,0.000742815
58,3032.35,1.12931,1.59102,1.54132,0.40048,0.44156,0.33127,0.17716,1.95656,2.86115,2.69923,0.000726312,0.000726312,0.000726312
59,3081.73,1.06125,1.6034,1.54051,0.40053,0.40584,0.29308,0.16779,2.05241,2.97635,2.74699,0.000709809,0.000709809,0.000709809
60,3130.89,1.10795,1.52426,1.51911,0.63689,0.33759,0.36754,0.19613,2.06174,2.51044,2.79369,0.000693305,0.000693305,0.000693305
61,3179.93,1.03936,1.43599,1.45743,0.55157,0.34056,0.41156,0.2352,2.01121,2.47763,2.72097,0.000676802,0.000676802,0.000676802
62,3228.66,1.06761,1.43305,1.5296,0.61093,0.48908,0.49454,0.23498,2.10674,2.22797,2.93065,0.000660299,0.000660299,0.000660299
63,3278.03,1.01893,1.43877,1.45608,0.61523,0.52273,0.48271,0.22239,2.08286,2.30644,2.88075,0.000643795,0.000643795,0.000643795
64,3325.79,0.96516,1.29959,1.40453,0.50008,0.53492,0.45429,0.23346,2.18805,2.76138,2.96261,0.000627292,0.000627292,0.000627292
65,3374.65,0.92291,1.31556,1.40531,0.63269,0.50061,0.47395,0.24516,2.26043,2.85532,2.9735,0.000610789,0.000610789,0.000610789
66,3423.67,1.01799,1.38957,1.46514,0.65354,0.50772,0.43988,0.24461,2.26878,2.69001,2.93866,0.000594286,0.000594286,0.000594286
67,3472.55,0.9364,1.35155,1.38655,0.65313,0.43344,0.39466,0.22327,2.10697,2.8015,2.70626,0.000577782,0.000577782,0.000577782
68,3521.44,1.01887,1.40431,1.45036,0.60585,0.58766,0.37434,0.20959,2.16692,2.84529,2.76109,0.000561279,0.000561279,0.000561279
69,3570.75,0.86191,1.18969,1.35505,0.60748,0.61022,0.3877,0.20848,2.09512,2.72146,2.79262,0.000544776,0.000544776,0.000544776
70,3619.67,0.91037,1.22422,1.36735,0.62033,0.5107,0.40893,0.20554,2.14481,2.9598,2.82694,0.000528272,0.000528272,0.000528272
71,3668.2,0.96787,1.27644,1.43621,0.60311,0.39773,0.32826,0.17003,2.28661,3.19657,2.93949,0.000511769,0.000511769,0.000511769
72,3717.93,0.90084,1.31221,1.36642,0.67888,0.28896,0.36622,0.19644,2.34228,3.037,2.94418,0.000495266,0.000495266,0.000495266
73,3766.56,0.85197,1.21745,1.3197,0.64305,0.28896,0.37014,0.19433,2.34299,2.94199,2.93943,0.000478762,0.000478762,0.000478762
74,3819.86,0.94265,1.25644,1.40203,0.6141,0.42337,0.43049,0.22733,2.22537,2.73476,2.86853,0.000462259,0.000462259,0.000462259
75,3873.48,0.91765,1.16299,1.37631,0.52091,0.45748,0.44541,0.24743,2.16183,2.50796,2.85654,0.000445756,0.000445756,0.000445756
76,3926.21,0.88842,1.22971,1.36285,0.60336,0.56006,0.44633,0.24077,2.16804,2.5543,2.8085,0.000429253,0.000429253,0.000429253
77,3980.63,0.82464,1.15066,1.29492,0.58348,0.51071,0.42361,0.24164,2.12633,2.60103,2.76244,0.000412749,0.000412749,0.000412749
78,4033.49,0.83686,1.16328,1.28744,0.46367,0.50487,0.39148,0.24193,1.98248,2.5287,2.64983,0.000396246,0.000396246,0.000396246
79,4086.33,0.96143,1.20754,1.35156,0.39902,0.58604,0.4323,0.23921,2.047,2.51884,2.71185,0.000379743,0.000379743,0.000379743
80,4139.73,0.89043,1.23926,1.35269,0.4768,0.61364,0.4914,0.26992,1.98134,2.48982,2.68015,0.000363239,0.000363239,0.000363239
81,4193.35,0.83785,1.1446,1.33643,0.57633,0.63149,0.48956,0.26317,1.95699,2.46205,2.63166,0.000346736,0.000346736,0.000346736
82,4245.59,0.88788,1.21982,1.3334,0.5698,0.55943,0.52699,0.28085,2.10222,2.51055,2.76157,0.000330233,0.000330233,0.000330233
83,4299.44,0.81012,1.11397,1.30265,0.59476,0.48701,0.50083,0.24178,2.20154,2.57145,2.90897,0.000313729,0.000313729,0.000313729
84,4352.81,0.84356,1.0739,1.32418,0.61544,0.46916,0.49024,0.24929,2.11569,2.59618,2.85422,0.000297226,0.000297226,0.000297226
85,4405.76,0.83769,1.15932,1.32483,0.62011,0.46916,0.45912,0.23481,2.08932,2.7505,2.8139,0.000280723,0.000280723,0.000280723
86,4459.63,0.89826,1.19103,1.38118,0.79341,0.34253,0.46474,0.25727,1.98889,2.61149,2.69418,0.00026422,0.00026422,0.00026422
87,4512.68,0.82447,1.08894,1.32455,0.63933,0.44156,0.4612,0.25041,1.95024,2.51882,2.6378,0.000247716,0.000247716,0.000247716
88,4565.67,0.83952,1.12754,1.28404,0.65682,0.40584,0.44399,0.23928,2.03571,2.5681,2.70001,0.000231213,0.000231213,0.000231213
89,4618.69,0.79489,1.09563,1.26919,0.59753,0.3691,0.41323,0.23026,2.09148,2.57625,2.74875,0.00021471,0.00021471,0.00021471
90,4671.39,0.8589,1.07423,1.31914,0.46881,0.489,0.44872,0.23579,2.08834,2.51805,2.80254,0.000198206,0.000198206,0.000198206
91,4725.78,0.77247,1.23819,1.33396,0.54857,0.47727,0.50223,0.25168,2.1799,2.2901,2.94448,0.000181703,0.000181703,0.000181703
92,4781.44,0.74582,1.17371,1.31863,0.60526,0.59279,0.54545,0.28627,2.13164,2.11375,2.96074,0.0001652,0.0001652,0.0001652
93,4833.89,0.7286,1.06541,1.30113,0.62521,0.58604,0.54241,0.29902,2.10065,2.13021,2.97036,0.000148696,0.000148696,0.000148696
94,4886.51,0.71144,0.9698,1.2937,0.6431,0.55032,0.52998,0.29492,2.0732,2.15494,2.96569,0.000132193,0.000132193,0.000132193
95,4936.95,0.68695,0.93793,1.29097,0.61309,0.56807,0.53897,0.30623,2.07017,2.17169,2.89355,0.00011569,0.00011569,0.00011569
96,4992.71,0.67381,0.9009,1.25291,0.67915,0.44156,0.51105,0.2983,2.12258,2.34975,2.86609,9.91865e-05,9.91865e-05,9.91865e-05
97,5050.36,0.65443,0.85043,1.22431,0.54154,0.48729,0.4741,0.29817,2.10235,2.35983,2.85185,8.26832e-05,8.26832e-05,8.26832e-05
98,5108.46,0.63544,0.88829,1.26248,0.92099,0.33279,0.45865,0.29372,2.16726,2.32625,2.88773,6.61799e-05,6.61799e-05,6.61799e-05
99,5166.31,0.68177,0.88218,1.29106,0.63192,0.41217,0.46445,0.29664,2.16802,2.33896,2.88384,4.96766e-05,4.96766e-05,4.96766e-05
100,5225.58,0.67223,0.88183,1.21282,0.61277,0.45942,0.47687,0.29574,2.18129,2.32013,2.90914,3.31733e-05,3.31733e-05,3.31733e-05
